tau_list track
9.11832 0.52047
9.13836 0.51935
9.15840 0.51824
9.17844 0.51713
9.19848 0.51602
9.21852 0.51492
9.23855 0.51383
9.25859 0.51273
9.27863 0.51164
9.29867 0.51056
9.31871 0.50947
9.33874 0.50839
9.35878 0.50732
9.37882 0.50624
9.39886 0.50517
9.41890 0.50411
9.43893 0.50304
9.45897 0.50199
9.47901 0.50093
9.49905 0.49988
9.51909 0.49883
9.53912 0.49778
9.55916 0.49674
9.57920 0.49570
9.59924 0.49467
9.61928 0.49363
9.63931 0.49261
9.65935 0.49158
9.67939 0.49056
9.69943 0.48954
9.71947 0.48852
9.73951 0.48751
9.75954 0.48650
9.77958 0.48550
9.79962 0.48450
9.81966 0.48350
9.83970 0.48250
9.85973 0.48151
9.87977 0.48052
9.89981 0.47953
9.91985 0.47855
9.93989 0.47757
9.95992 0.47659
9.97996 0.47561
10.00000 0.47465
